ocid,release_id,date,buyer_name,buyer_id,tender_id,tender_title,mainProcurementCategory,tender_minValue,tender_datePublished,tender_status,award_id,award_title,award_date,award_value,award_supplier
ocds-20h3g7-37988127,ocds-20h3g7-37988127-1,2019-04-18T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,37988127,Pengadaan Peralatan Laboratorium,goods,5910124550.0,2019-03-28T00:00:00.000000Z,complete,37988127-1,Pengadaan Peralatan Laboratorium,2019-04-18T00:00:00.000000Z,5909530000.0,AZAYAKA DWI SAPTA
ocds-20h3g7-37989127,ocds-20h3g7-37989127-1,2019-05-16T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,37989127,"Peningkatan Sarana, Prasarana dan Utilitas di Kel. Duri Pulo Jakarta Pusat",works,2002242766.34,2019-04-16T00:00:00.000000Z,complete,37989127-1,"Peningkatan Sarana, Prasarana dan Utilitas di Kel. Duri Pulo Jakarta Pusat",2019-05-16T00:00:00.000000Z,1601794213.08,CV. MANDOSI JAYA
ocds-20h3g7-37991127,ocds-20h3g7-37991127-1,2019-06-20T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,37991127,Penyelenggaraan Monas Week dalam Museum dan di Kawasan Monas,services,7523490771.5,2019-05-14T00:00:00.000000Z,complete,37991127-1,Penyelenggaraan Monas Week dalam Museum dan di Kawasan Monas,2019-06-20T00:00:00.000000Z,6903578000.0,PT AVANTGARDE PRODUCTION
ocds-20h3g7-37993127,ocds-20h3g7-37993127-1,2019-05-17T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,37993127,"Peningkatan Sarana, Prasarana dan Utilitas di Kel. Galur Jakarta Pusat",works,3203140462.33,2019-04-16T00:00:00.000000Z,complete,37993127-1,"Peningkatan Sarana, Prasarana dan Utilitas di Kel. Galur Jakarta Pusat",2019-05-17T00:00:00.000000Z,2616286974.64,PT. SANTI CAHAYA ABADI
ocds-20h3g7-38003127,ocds-20h3g7-38003127-1,2019-04-24T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38003127,Penyelenggaraan Acara-acara Seremonial Pimpinan Tahun 2019 (kegiatan terprediksi),services,1177260276.5,2019-04-04T00:00:00.000000Z,complete,38003127-1,Penyelenggaraan Acara-acara Seremonial Pimpinan Tahun 2019 (kegiatan terprediksi),2019-04-24T00:00:00.000000Z,1068169300.0,CV.KANAKA
ocds-20h3g7-38008127,ocds-20h3g7-38008127-1,2019-05-15T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38008127,"Peningkatan sarana, prasarana dan utilitas di Kelurahan Tugu Utara",works,16075558579.37,2019-03-26T00:00:00.000000Z,complete,38008127-1,"Peningkatan sarana, prasarana dan utilitas di Kelurahan Tugu Utara",2019-05-15T00:00:00.000000Z,14791803912.11,PT. MEGA BINTANG ABADI
ocds-20h3g7-38015127,ocds-20h3g7-38015127-1,2019-05-13T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38015127,Belanja Barang Pakai Habis Sandang,goods,428296000.0,2019-04-25T00:00:00.000000Z,complete,38015127-1,Belanja Barang Pakai Habis Sandang,2019-05-13T00:00:00.000000Z,325556000.0,PT. POLINDO NIPAR JAYA
ocds-20h3g7-38016127,ocds-20h3g7-38016127-1,2019-05-22T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38016127,Jasa Konsultansi Perencanaan Rehab Total Kantor Lurah Kebon Bawang,services,241065000.0,2019-03-29T00:00:00.000000Z,complete,38016127-1,Jasa Konsultansi Perencanaan Rehab Total Kantor Lurah Kebon Bawang,2019-05-22T00:00:00.000000Z,208450000.0,PT. TIRAMATSI UTAMA
ocds-20h3g7-38017127,ocds-20h3g7-38017127-1,2019-05-17T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38017127,Pembangunan trotoar dan bangunan pelengkap jalan di Wilayah Jakarta Pusat (Paket 1 - Konsultan Pengawas),services,239910000.0,2019-04-01T00:00:00.000000Z,complete,38017127-1,Pembangunan trotoar dan bangunan pelengkap jalan di Wilayah Jakarta Pusat (Paket 1 - Konsultan Pengawas),2019-05-17T00:00:00.000000Z,221903000.0,PT. ZORA MEGAH BINTANG
ocds-20h3g7-38018127,ocds-20h3g7-38018127-1,2019-05-17T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38018127,Pembangunan trotoar dan bangunan pelengkap jalan di Wilayah Jakarta Pusat (Paket 2 - Konsultan Pengawas),services,239910000.0,2019-04-01T00:00:00.000000Z,complete,38018127-1,Pembangunan trotoar dan bangunan pelengkap jalan di Wilayah Jakarta Pusat (Paket 2 - Konsultan Pengawas),2019-05-17T00:00:00.000000Z,224246000.0,PT. SAVA BINTANG PADANG
