date,buyer_name,tender_title,mainprocurementcategory,tender_minvalue,tender_status,award_title,award_date,award_value,award_supplier,days_to_award,budget_utilization_ratio
2015-05-29,Pemerintah Daerah Provinsi Dki Jakarta,Penyelenggaraan Pemilihan Abang Dan None Jakarta,Services,4992122300.0,Complete,Penyelenggaraan Pemilihan Abang Dan None Jakarta,2015-05-29,4641450000.0,Pt. Ekspo Kreatif Indo,7,0.9297548659815486
2015-07-03,Pemerintah Daerah Provinsi Dki Jakarta,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Smp 197,Services,242159500.0,Complete,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Smp 197,2015-07-03,228261000.0,Pt. Sewun Indo Konsultan,42,0.9426060096754412
2015-06-05,Pemerintah Daerah Kabupaten Puncak Jaya,Perbaikan Jalan Lingkungan/Orang/Saluran Kecamatan Jagakarsa (Jasa Konsultansi Pengawasan Pekerjaan Hotmix),Services,63833000.0,Complete,Perbaikan Jalan Lingkungan/Orang/Saluran Kecamatan Jagakarsa (Jasa Konsultansi Pengawasan Pekerjaan Hotmix),2015-06-05,54890000.0,Danureksa Sarana Cipta,14,0.8599000516973979
2015-06-05,Pemerintah Daerah Provinsi Dki Jakarta,Pengadaan Cetakan Khusus (Security Printing Dan Formulir),Services,545503365.0,Complete,Pengadaan Cetakan Khusus (Security Printing Dan Formulir),2015-06-05,539880000.0,Pt. Swadharma Eragrafindo Sarana,14,0.9896914201436686
2015-07-03,Pemerintah Daerah Provinsi Dki Jakarta,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Kantor Puslatdikjur Jakarta Timur,Services,442695000.0,Complete,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Kantor Puslatdikjur Jakarta Timur,2015-07-03,349525000.0,Pt. Tiramatsi Utama,42,0.7895390731767922
2015-07-03,Pemerintah Daerah Provinsi Dki Jakarta,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Smpn 164,Services,339256500.0,Complete,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Smpn 164,2015-07-03,233750000.0,Pt. Trisarpa,42,0.6890066955238883
2015-07-29,Pemerintah Daerah Provinsi Dki Jakarta,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Sman 55,Services,231110000.0,Complete,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Sman 55,2015-07-29,207900000.0,Pt. Wyda Arsikona Buana,68,0.8995716325559258
2015-07-03,Pemerintah Daerah Provinsi Dki Jakarta,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Sdn Pertukangan Selatan 04/05,Services,292380000.0,Complete,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Sdn Pertukangan Selatan 04/05,2015-07-03,270022000.0,Pt.Saritama Purnama,42,0.9235310212736849
2015-06-05,Unknown Buyer,Perbaikan Jalan Lingkungan/Orang/Saluran Kecamatan Kebayoran Lama (Jasa Konsultansi Pengawasan),Services,98750000.0,Complete,Perbaikan Jalan Lingkungan/Orang/Saluran Kecamatan Kebayoran Lama (Jasa Konsultansi Pengawasan),2015-06-05,89430000.0,Pt. Nabela Karya Abadi,14,0.905620253164557
2015-06-05,Unknown Buyer,Perbaikan Jalan Lingkungan/Orang/Saluran Kecamatan Pesanggrahan (Jasa Konsultansi Pengawasan Pekerjaan Hotmix),Services,98758000.0,Complete,Perbaikan Jalan Lingkungan/Orang/Saluran Kecamatan Pesanggrahan (Jasa Konsultansi Pengawasan Pekerjaan Hotmix),2015-06-05,88165000.0,Danureksa Sarana Cipta,14,0.8927378035197149
2015-06-04,Unknown Buyer,Pengadaan Jasa Konsultansi Badan Usaha   Perbaikan Jalan Lingkungan/Orang/Saluran Kecamatan Tebet  (Jasa Konsultansi Pengawasan),Services,72990500.0,Complete,Pengadaan Jasa Konsultansi Badan Usaha   Perbaikan Jalan Lingkungan/Orang/Saluran Kecamatan Tebet  (Jasa Konsultansi Pengawasan),2015-06-04,69795000.0,Pt. Bumi Madani,13,0.9562203300429508
2015-07-03,Pemerintah Daerah Provinsi Dki Jakarta,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Sdn Sukabumi Utara 07,Services,242159500.0,Complete,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Sdn Sukabumi Utara 07,2015-07-03,222270000.0,Pt.Saritama Purnama,42,0.9178661171665782
2015-06-12,Unknown Buyer,Pemasangan Pipa Hdpe Diameter 160 Mm Di Jl. Rs. Fatmawati  Stasiun Cipete,Works,222817444.0,Complete,Pemasangan Pipa Hdpe Diameter 160 Mm Di Jl. Rs. Fatmawati  Stasiun Cipete,2015-06-12,198360432.6,Pt. Fajar Usaha Jaya,17,0.8902374474774066
2015-06-09,Unknown Buyer,Perbaikan Jalan Lingkungan/Orang/Saluran Kecamatan Pasar Minggu (Jasa Konsultansi Pengawasan Pekerjaan Hotmix),Services,98758000.0,Complete,Perbaikan Jalan Lingkungan/Orang/Saluran Kecamatan Pasar Minggu (Jasa Konsultansi Pengawasan Pekerjaan Hotmix),2015-06-09,93819000.0,Pt. Asia Juli Pradana,18,0.94998886166184
2015-07-03,Pemerintah Daerah Provinsi Dki Jakarta,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Smpn 125,Services,292380000.0,Complete,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Smpn 125,2015-07-03,276430000.0,Pt. Cinipta Triutama Jaya,42,0.9454477050413845
2015-07-29,Pemerintah Daerah Provinsi Dki Jakarta,Jasa Konsultansi Pengawasan Penyelesaian Pembangunan Ruang Kelas Baru Smpn 97,Services,283430400.0,Complete,Jasa Konsultansi Pengawasan Penyelesaian Pembangunan Ruang Kelas Baru Smpn 97,2015-07-29,238790000.0,Pt. Bumi Madani,68,0.8424996048412591
2015-07-03,Pemerintah Daerah Provinsi Dki Jakarta,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Smpn 73,Services,302390000.0,Complete,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Smpn 73,2015-07-03,278795000.0,Pt. Granitindo Cipta Sejati,42,0.9219716260458348
2015-07-03,Pemerintah Daerah Provinsi Dki Jakarta,Jasa Konsultansi Pengawasan Penyelesaian Sarana Penunjang Smkn Bambu Apus,Services,442695000.0,Complete,Jasa Konsultansi Pengawasan Penyelesaian Sarana Penunjang Smkn Bambu Apus,2015-07-03,393525000.0,Pt. Granitindo Cipta Sejati,42,0.8889303019008572
2015-07-03,Pemerintah Daerah Provinsi Dki Jakarta,Jasa Konsultansi Pengawasan Penyelesaian Pembangunan Asrama Smk Negeri 61 Kepulauan Seribu,Services,292380000.0,Complete,Jasa Konsultansi Pengawasan Penyelesaian Pembangunan Asrama Smk Negeri 61 Kepulauan Seribu,2015-07-03,272396000.0,Pt. Gubahreka Consultant,42,0.9316505916957384
2015-06-09,Unknown Buyer,Belanja Modal Pengadaan Alat Pembersih/Kebersihan,Goods,2123514708.0,Complete,Belanja Modal Pengadaan Alat Pembersih/Kebersihan,2015-06-09,1438305000.0,Pt. Visi Trading Distribusi,15,0.677322833970218
2015-06-19,Pemerintah Daerah Provinsi Dki Jakarta,Pengadaan Peta Keluarga Dan Stiker,Services,322518675.0,Complete,Pengadaan Peta Keluarga Dan Stiker,2015-06-19,156750760.0,Pt. Mitra Maju Sejahtera,24,0.4860207242262793
2015-06-18,Pemerintah Daerah Provinsi Dki Jakarta,Pengadaan Cetakan Karcis Tepi Jalan,Services,1496563200.0,Complete,Pengadaan Cetakan Karcis Tepi Jalan,2015-06-18,1309492800.0,Cv. Karya Indonesia,22,0.875
2015-06-12,Unknown Buyer,Penyediaan Makanan Dan Minuman Wbs Panti Sosial Bina Netra Cahaya Bathin,Goods,321440800.0,Complete,Penyediaan Makanan Dan Minuman Wbs Panti Sosial Bina Netra Cahaya Bathin,2015-06-12,295451900.0,Cv. Caterina Apriani,14,0.91914872038646
2015-06-11,Unknown Buyer,Pemeliharaan Jalan Wilayah Kecamatan Cempaka Putih (Jasa Konsultansi Pengawasan),Services,143123750.0,Complete,Pemeliharaan Jalan Wilayah Kecamatan Cempaka Putih (Jasa Konsultansi Pengawasan),2015-06-11,121836000.0,Pt. Bumi Madani,14,0.8512633298107407
2015-06-11,Unknown Buyer,Pemeliharaan Jalan Wilayah Kecamatan Gambir (Jasa Konsultansi Pengawasan,Services,143123750.0,Complete,Pemeliharaan Jalan Wilayah Kecamatan Gambir (Jasa Konsultansi Pengawasan,2015-06-11,117216000.0,Pt. Bumi Madani,14,0.818983571908925
2015-06-23,Unknown Buyer,Belanja Jasa Konsultansi Pengawasan Rehab Total Kantor Lurah Kapuk,Services,155952500.0,Complete,Belanja Jasa Konsultansi Pengawasan Rehab Total Kantor Lurah Kapuk,2015-06-23,139672500.0,Pt. Deltapromas Rekayasa Konsultan,26,0.8956092399929466
2015-06-11,Unknown Buyer,Pemeliharaan Jalan Wilayah Kecamatan Johar Baru (Jasa Konsultansi Pengawasan),Services,143123750.0,Complete,Pemeliharaan Jalan Wilayah Kecamatan Johar Baru (Jasa Konsultansi Pengawasan),2015-06-11,118525000.0,Pt. Tricons Karya Mandiri,14,0.8281295033144395
2015-06-23,Unknown Buyer,Belanja Jasa Konsultansi Pengawasan Rehab Total Kantor Lurah Kembangan Utara,Services,155952500.0,Complete,Belanja Jasa Konsultansi Pengawasan Rehab Total Kantor Lurah Kembangan Utara,2015-06-23,109175000.0,Pt. Isa Kreasi Mandiri Sejati,26,0.7000529007229765
2015-06-11,Unknown Buyer,Pemeliharaan Jalan Wilayah Kecamatan Kemayoran (Jasa Konsultansi Pengawasan),Services,143123750.0,Complete,Pemeliharaan Jalan Wilayah Kecamatan Kemayoran (Jasa Konsultansi Pengawasan),2015-06-11,115489000.0,Danureksa Sarana Cipta,14,0.8069170909789605
2015-06-23,Unknown Buyer,Belanja Jasa Konsultansi Pengawasan Rehab Total Kantor Lurah Pekojan,Services,155952500.0,Complete,Belanja Jasa Konsultansi Pengawasan Rehab Total Kantor Lurah Pekojan,2015-06-23,137230500.0,Pt. Granitindo Cipta Sejati,26,0.8799506259918886
2015-06-23,Unknown Buyer,Belanja Jasa Konsultansi Pengawasan Rehab Total Kantor Lurah Tanjung Duren Selatan,Services,155952500.0,Complete,Belanja Jasa Konsultansi Pengawasan Rehab Total Kantor Lurah Tanjung Duren Selatan,2015-06-23,103730000.0,Pt. Bayu Berlian Mandiri,26,0.6651384235584553
