Unnamed: 0,Akun,Anggaran/Pagu,Realisasi,%,Year
,Belanja Bagi Hasil,"68.895,51 M","3.015,75 M",4.38,2024
,,,,,2024
,Belanja Bantuan Keuangan,"135.951,69 M","6.826,04 M",5.02,2024
,,,,,2024
,Belanja Bunga,"1.268,61 M","220,24 M",17.36,2024
,,,,,2024
,Belanja Subsidi,"6.336,34 M","41,40 M",0.65,2024
,,,,,2024
,Belanja Hibah,"88.490,17 M","5.584,06 M",6.31,2024
,,,,,2024
,Belanja Bantuan Sosial,"9.632,88 M","192,04 M",1.99,2024
,,,,,2024
,Belanja Tidak Terduga,"8.904,93 M","234,27 M",2.63,2024
,,,,,2024
,Pembiayaan Daerah,"76.104,25 M","38.591,39 M",50.71,2024
,,,,,2024
,Penerimaan Pembiayaan Daerah,"97.260,68 M","38.585,07 M",39.67,2024
,,,,,2024
,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"84.666,78 M","38.585,07 M",45.57,2024
,,,,,2024
,Pencairan Dana Cadangan,"3.721,17 M","229,81 M",6.18,2024
,,,,,2024
,Penjualan Kekayaan Daerah yang Dipisahkan,"0,98 M","0,00 M",0.0,2024
,,,,,2024
,Penerimaan Pinjaman Daerah,"8.697,89 M","241,44 M",2.78,2024
,,,,,2024
,Penerimaan Kembali Pemberian Pinjaman Daerah,"105,10 M","11,45 M",10.9,2024
,,,,,2024
,Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"68,76 M","6,50 M",9.45,2024
,,,,,2024
,Pengeluaran Pembiayaan Daerah,"21.156,44 M","241,44 M",1.14,2024
,,,,,2024
,Pembentukan Dana Cadangan,"418,06 M","16,84 M",4.03,2024
,,,,,2024
,Penyertaan Modal Daerah,"11.404,49 M","960,83 M",8.42,2024
,,,,,2024
,Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"9.266,03 M","1.440,00 M",15.54,2024
,,,,,2024
,Pemberian Pinjaman Daerah,"46,36 M","0,00 M",0.0,2024
,,,,,2024
,Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"21,50 M","0,00 M",0.0,2024
,,,,,2024
,Penerimaan Pembiayaan Lainnya,"0,00 M","247,77 M",0.0,2024
,,,,,2024
,Penyertaan Modal,"0,00 M","960,83 M",0.0,2024
,,,,,2024
,Pembayaaran Pokok Utang,"0,00 M","1.440,00 M",0.0,2024
,,,,,2024
,Pengeluaran Pembiayaan Lainnya,"0,00 M","16,84 M",0.0,2024
,,,,,2024
,Pendapatan Daerah,"1.350.905,54 M","176.200,30 M",13.04,2025
,,,,,2025
,PAD,"405.169,71 M","47.264,73 M",11.67,2025
,,,,,2025
,Pajak Daerah,"292.541,79 M","33.368,61 M",11.41,2025
,,,,,2025
,Retribusi Daerah,"63.935,89 M","8.230,90 M",12.87,2025
,,,,,2025
,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"13.436,35 M","1.585,05 M",11.8,2025
,,,,,2025
,Lain-Lain PAD yang Sah,"35.255,69 M","4.080,16 M",11.57,2025
,,,,,2025
,TKDD,"881.646,52 M","126.765,36 M",14.38,2025
,,,,,2025
,Pendapatan Transfer Pemerintah Pusat,"881.646,52 M","126.765,36 M",14.38,2025
,,,,,2025
,Pendapatan Lainnya,"64.089,30 M","2.170,22 M",3.39,2025
,,,,,2025
,Pendapatan Hibah,"3.169,36 M","16,08 M",0.51,2025
,,,,,2025
,Dana Darurat,"0,00 M","0,00 M",0.0,2025
,,,,,2025
,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"10.863,92 M","317,96 M",2.93,2025
,,,,,2025
,Pendapatan Transfer Antar Daerah,"50.056,03 M","1.836,17 M",3.67,2025
,,,,,2025
,Belanja Daerah,"1.414.338,50 M","83.636,26 M",5.91,2025
,,,,,2025
,Belanja Pegawai,"512.314,73 M","48.445,10 M",9.46,2025
,,,,,2025
,Belanja Pegawai,"512.314,73 M","48.445,10 M",9.46,2025
,,,,,2025
,Belanja Barang dan Jasa,"418.610,97 M","20.622,14 M",4.93,2025
,,,,,2025
,Belanja Barang dan Jasa,"418.610,97 M","20.622,14 M",4.93,2025
,,,,,2025
,Belanja Modal,"212.459,94 M","2.244,01 M",1.06,2025
,,,,,2025
,Belanja Modal,"212.459,94 M","2.244,01 M",1.06,2025
,,,,,2025
,Belanja Lainnya,"270.952,86 M","12.325,01 M",4.55,2025
,,,,,2025
,Belanja Bagi Hasil,"54.185,17 M","2.051,93 M",3.79,2025
,,,,,2025
,Belanja Bantuan Keuangan,"134.290,33 M","6.519,20 M",4.85,2025
,,,,,2025
,Belanja Bunga,"870,62 M","133,95 M",15.39,2025
,,,,,2025
,Belanja Subsidi,"6.976,94 M","57,27 M",0.82,2025
,,,,,2025
,Belanja Hibah,"52.490,28 M","3.235,35 M",6.16,2025
,,,,,2025
,Belanja Bantuan Sosial,"9.225,54 M","127,02 M",1.38,2025
,,,,,2025
,Belanja Tidak Terduga,"12.913,97 M","200,29 M",1.55,2025
,,,,,2025
,Pembiayaan Daerah,"64.705,37 M","29.129,91 M",45.02,2025
,,,,,2025
,Penerimaan Pembiayaan Daerah,"82.828,12 M","29.432,28 M",35.53,2025
,,,,,2025
,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"73.581,05 M","29.432,28 M",40.0,2025
,,,,,2025
,Pencairan Dana Cadangan,"59,00 M","6,92 M",11.73,2025
,,,,,2025
,Penjualan Kekayaan Daerah yang Dipisahkan,"1,78 M","0,00 M",0.0,2025
,,,,,2025
,Penerimaan Pinjaman Daerah,"9.047,96 M","310,00 M",3.43,2025
,,,,,2025
,Penerimaan Kembali Pemberian Pinjaman Daerah,"133,33 M","0,71 M",0.53,2025
,,,,,2025
,Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"5,00 M","0,00 M",0.0,2025
,,,,,2025
,Pengeluaran Pembiayaan Daerah,"18.122,75 M","310,00 M",1.71,2025
,,,,,2025
,Pembentukan Dana Cadangan,"193,63 M","22,28 M",11.5,2025
,,,,,2025
,Penyertaan Modal Daerah,"10.010,43 M","457,26 M",4.57,2025
,,,,,2025
,Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"7.625,84 M","1.184,41 M",15.53,2025
,,,,,2025
,Pemberian Pinjaman Daerah,"50,13 M","7,62 M",15.2,2025
,,,,,2025
,Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"242,73 M","71,16 M",29.31,2025
,,,,,2025
,Penerimaan Pembiayaan Lainnya,"0,00 M","7,63 M",0.0,2025
,,,,,2025
,Penyertaan Modal,"0,00 M","457,26 M",0.0,2025
,,,,,2025
,Pembayaaran Pokok Utang,"0,00 M","1.184,41 M",0.0,2025
,,,,,2025
,Pengeluaran Pembiayaan Lainnya,"0,00 M","101,05 M",0.0,2025
,,,,,2025
