Unnamed: 0,Akun,Anggaran/Pagu,Realisasi,%,Year
,,,,,2013
,Lain-Lain PAD yang Sah,"21.447,09 M","27.102,42 M",126.37,2013
,,,,,2013
,Dana Perimbangan,"433.212,69 M","442.886,65 M",102.23,2013
,,,,,2013
,DBH,"90.965,72 M","101.536,56 M",111.62,2013
,,,,,2013
,DAU,"310.865,79 M","310.663,64 M",99.93,2013
,,,,,2013
,DAK,"31.381,19 M","30.686,45 M",97.79,2013
,,,,,2013
,Pendapatan Lainnya,"109.761,82 M","125.984,49 M",114.78,2013
,,,,,2013
,Hibah,"5.556,76 M","3.406,56 M",61.3,2013
,,,,,2013
,Dana Darurat,"0,00 M","239,21 M",0.0,2013
,,,,,2013
,Bagi Hasil Provinsi atau Pemda Lain,"20.368,29 M","23.738,37 M",116.55,2013
,,,,,2013
,Dana Penyesuaian dan Otsus,"71.767,80 M","84.677,84 M",117.99,2013
,,,,,2013
,Bantuan Keuangan,"9.714,59 M","3.033,13 M",31.22,2013
,,,,,2013
,Pendapatan Lainnya,"2.354,38 M","10.889,38 M",462.52,2013
,,,,,2013
,Belanja,"737.680,94 M","715.451,11 M",96.99,2013
,,,,,2013
,Belanja Tidak Langsung,"378.254,46 M","400.760,87 M",105.95,2013
,,,,,2013
,Belanja Pegawai Tidak Langsung,"261.370,37 M","279.263,99 M",106.85,2013
,,,,,2013
,Belanja Langsung,"359.426,48 M","314.690,24 M",87.55,2013
,,,,,2013
,Belanja Bunga,"360,90 M","1.127,02 M",312.28,2013
,,,,,2013
,Belanja Pegawai Langsung,"35.447,54 M","7.325,03 M",20.66,2013
,,,,,2013
,Belanja Barang Jasa,"148.171,39 M","144.373,09 M",97.44,2013
,,,,,2013
,Belanja Modal,"175.807,55 M","162.992,12 M",92.71,2013
,,,,,2013
,Belanja Subsidi,"656,03 M","707,93 M",107.91,2013
,,,,,2013
,Belanja Hibah,"49.058,98 M","51.711,24 M",105.41,2013
,,,,,2013
