ocid,release_id,date,buyer_name,tender_id,tender_title,mainprocurementcategory,tender_minvalue,tender_datepublished,tender_status,award_id,award_title,award_date,award_value,award_supplier
ocds-20h3g7-31576127,ocds-20h3g7-31576127-2,2016-07-26,Pemerintah Daerah Provinsi Dki Jakarta,31576127,Peningkatan Trotoar Dan Saluran Tepi Di Kecamatan Pasar Minggu (Jasa Konsultansi Pengawasan),services,126060000.0,2016-06-29,complete,31576127-1,Peningkatan Trotoar Dan Saluran Tepi Di Kecamatan Pasar Minggu (Jasa Konsultansi Pengawasan),2016-07-26,123365000.0,Pt. Bumi Madani
ocds-20h3g7-31578127,ocds-20h3g7-31578127-2,2016-07-26,Pemerintah Daerah Provinsi Dki Jakarta,31578127,Peningkatan Trotoar Dan Saluran Tepi Di Kecamatan Pesanggrahan (Jasa Konsultansi Pengawasan),services,126060000.0,2016-06-29,complete,31578127-1,Peningkatan Trotoar Dan Saluran Tepi Di Kecamatan Pesanggrahan (Jasa Konsultansi Pengawasan),2016-07-26,120780000.0,Cv. Apik Karya
ocds-20h3g7-31579127,ocds-20h3g7-31579127-1,2016-08-04,Pemerintah Daerah Provinsi Dki Jakarta,31579127,Revitalisasi Pengujian Kendaraan Bermotor Kedaung Angke,works,31143580827.0,2016-06-29,complete,31579127-1,Revitalisasi Pengujian Kendaraan Bermotor Kedaung Angke,2016-08-04,24920826464.45,Pt. Rosa Lisca
ocds-20h3g7-31584127,ocds-20h3g7-31584127-1,2016-10-12,Pemerintah Daerah Provinsi Dki Jakarta,31584127,Pembangunan Under Pass Kartini,works,95000000000.0,2016-07-01,complete,31584127-1,Pembangunan Under Pass Kartini,2016-10-12,91104660000.0,Pt. Modern Widya Tehnical
ocds-20h3g7-31585127,ocds-20h3g7-31585127-1,2016-08-09,Pemerintah Daerah Provinsi Dki Jakarta,31585127,Pengawasan Pembangunan Dan Peningkatan Prasarana Dan Sarana Sumur Resapan Di Wilayah Jakarta Barat,services,111325100.0,2016-07-16,complete,31585127-1,Pengawasan Pembangunan Dan Peningkatan Prasarana Dan Sarana Sumur Resapan Di Wilayah Jakarta Barat,2016-08-09,90585000.0,Pt. Bagastama Persada
ocds-20h3g7-31586127,ocds-20h3g7-31586127-1,2016-08-10,Pemerintah Daerah Provinsi Dki Jakarta,31586127,Kajian Wtp/Atp Angkutan Kereta Api Ringan,services,209150700.0,2016-07-01,complete,31586127-1,Kajian Wtp/Atp Angkutan Kereta Api Ringan,2016-08-10,204435000.0,Indosakti Pancadipo Paragraha
ocds-20h3g7-31587127,ocds-20h3g7-31587127-1,2016-10-25,Pemerintah Daerah Provinsi Dki Jakarta,31587127,Pembangunan Simpang Tidak Sebidang Cipinang Lontar,works,118000000000.0,2016-07-01,complete,31587127-1,Pembangunan Simpang Tidak Sebidang Cipinang Lontar,2016-10-25,115640000000.0,Pt. Istaka Karya (Persero)
ocds-20h3g7-31588127,ocds-20h3g7-31588127-1,2016-10-12,Pemerintah Daerah Provinsi Dki Jakarta,31588127,Pembangunan Simpang Tidak Sebidang Bintaro Permai - Rel Ka,works,71400000000.0,2016-07-01,complete,31588127-1,Pembangunan Simpang Tidak Sebidang Bintaro Permai - Rel Ka,2016-10-12,68262197487.95,Pt. Multi Structure
ocds-20h3g7-31589127,ocds-20h3g7-31589127-1,2016-10-25,Pemerintah Daerah Provinsi Dki Jakarta,31589127,Pembangunan Underpass Mampang-Kuningan,works,208800000000.0,2016-07-01,complete,31589127-1,Pembangunan Underpass Mampang-Kuningan,2016-10-25,202211680000.0,Pt Adhi Karya (Persero) Tbk
ocds-20h3g7-31590127,ocds-20h3g7-31590127-1,2016-10-25,Pemerintah Daerah Provinsi Dki Jakarta,31590127,Pembangunan Underpass Matraman-Salemba,works,125000000000.0,2016-07-01,complete,31590127-1,Pembangunan Underpass Matraman-Salemba,2016-10-25,118574285000.0,"Pt. Jaya Konstruksi Manggala Pratama, Tbk"
ocds-20h3g7-31592127,ocds-20h3g7-31592127-1,2016-07-26,Pemerintah Daerah Provinsi Dki Jakarta,31592127,Pembangunan/Peningkatan Jembatan Di Prov. Dki Jakarta,works,4446242914.27,2016-07-01,complete,31592127-1,Pembangunan/Peningkatan Jembatan Di Prov. Dki Jakarta,2016-07-26,3939012000.0,Pt. Dewanto Cipta Pratama
ocds-20h3g7-31594127,ocds-20h3g7-31594127-1,2016-10-25,Pemerintah Daerah Provinsi Dki Jakarta,31594127,Pembangunan Fo Pancoran,works,162500000000.0,2016-07-01,complete,31594127-1,Pembangunan Fo Pancoran,2016-10-25,156012565000.0,Pt. Nindya Karya (Persero)
ocds-20h3g7-31596127,ocds-20h3g7-31596127-1,2016-07-29,Pemerintah Daerah Provinsi Dki Jakarta,31596127,Lelang Konsolidasi Pengadaan Tanaman Dekorasi,goods,5108882020.0,2016-07-12,complete,31596127-1,Lelang Konsolidasi Pengadaan Tanaman Dekorasi,2016-07-29,4637286000.0,Pt. Alfath Karya Nusantara
ocds-20h3g7-31600127,ocds-20h3g7-31600127-2,2016-08-12,Pemerintah Daerah Provinsi Dki Jakarta,31600127,Belanja Pemeliharaan Alat Pendingin,services,289453725.0,2016-07-19,complete,31600127-1,Belanja Pemeliharaan Alat Pendingin,2016-08-12,211860000.0,Pt. Santana Adi Daya
ocds-20h3g7-31605127,ocds-20h3g7-31605127-1,2016-08-19,Pemerintah Daerah Provinsi Dki Jakarta,31605127,Pemeliharan Total Dermaga Utama Pulau Kelapa Rw 05,works,2326477696.0,2016-07-12,complete,31605127-1,Pemeliharan Total Dermaga Utama Pulau Kelapa Rw 05,2016-08-19,2085909000.0,Pt.Padma Bintang Buana
ocds-20h3g7-31609127,ocds-20h3g7-31609127-1,2016-07-25,Pemerintah Daerah Provinsi Dki Jakarta,31609127,Pengadaan Spanduk Pbb,services,389136000.0,2016-07-20,complete,31609127-1,Pengadaan Spanduk Pbb,2016-07-25,251680000.0,Pt. Dunia Cetak
ocds-20h3g7-31618127,ocds-20h3g7-31618127-1,2016-08-02,Pemerintah Daerah Provinsi Dki Jakarta,31618127,Pengadaan Koleksi Di Taman Arkeologi Onrust (Belanja Modal Benda-Benda Bersejarah),goods,700480000.0,2016-07-14,complete,31618127-1,Pengadaan Koleksi Di Taman Arkeologi Onrust (Belanja Modal Benda-Benda Bersejarah),2016-08-02,684640000.0,Cv. Bunga Kayu Manis
ocds-20h3g7-31620127,ocds-20h3g7-31620127-1,2016-07-26,Pemerintah Daerah Provinsi Dki Jakarta,31620127,Penyediaan Kebutuhan Kerumahtanggaan Kantor Sudin Pemadam,goods,211516140.0,2016-07-22,complete,31620127-1,Penyediaan Kebutuhan Kerumahtanggaan Kantor Sudin Pemadam,2016-07-26,185097000.0,Cv. Graha Indah Consultant
ocds-20h3g7-31623127,ocds-20h3g7-31623127-2,2016-07-25,Pemerintah Daerah Provinsi Dki Jakarta,31623127,Pengadaan Alatalat Angkutan Darat Bermotor Mikro Bus,goods,1978570001.1,2016-07-21,complete,31623127-1,Pengadaan Alatalat Angkutan Darat Bermotor Mikro Bus,2016-07-25,1760926200.0,Pt. Duta Info Nusantara
ocds-20h3g7-31624127,ocds-20h3g7-31624127-2,2016-08-05,Pemerintah Daerah Provinsi Dki Jakarta,31624127,Penyediaan Kantong Sampah Plastik (Konsolidasi),services,2463186440.0,2016-07-18,complete,31624127-1,Penyediaan Kantong Sampah Plastik (Konsolidasi),2016-08-05,1962019180.0,Cv. Bunga Toba
ocds-20h3g7-31627127,ocds-20h3g7-31627127-2,2016-08-16,Pemerintah Daerah Provinsi Dki Jakarta,31627127,Jasa Konsultasi Perseorangan Tenaga Ahli Manajemen Keuangan Perusahaan,services,91400000.0,2016-08-02,complete,31627127-1,Jasa Konsultasi Perseorangan Tenaga Ahli Manajemen Keuangan Perusahaan,2016-08-16,99000000.0,"Kusmadi Rifay,Se,Sh.,Ak.,Mm.,Cpa,Ca"
ocds-20h3g7-31630127,ocds-20h3g7-31630127-1,2016-08-25,Pemerintah Daerah Provinsi Dki Jakarta,31630127,Pekerjaan Jasa Konsultan Perencana Penyusunan Master Plan Sarana Dan Prasarana Pendidikan,services,331130800.0,2016-07-15,complete,31630127-1,Pekerjaan Jasa Konsultan Perencana Penyusunan Master Plan Sarana Dan Prasarana Pendidikan,2016-08-25,316195000.0,Pt. Bumi Harmoni Indoguna
ocds-20h3g7-31631127,ocds-20h3g7-31631127-1,2016-08-24,Pemerintah Daerah Provinsi Dki Jakarta,31631127,Belanja Modal Pengadaan Konstruksi Bangunan Pantai (Pembuatan Tanggul Kolam Labuh Docking Kapal Pulau Sabira),works,2300925700.0,2016-07-19,complete,31631127-1,Belanja Modal Pengadaan Konstruksi Bangunan Pantai (Pembuatan Tanggul Kolam Labuh Docking Kapal Pulau Sabira),2016-08-24,1943236443.0,Pt. Sapindo Odorma Putra
